Certainty.to.vote.in.general.election.10.is.certain,GEVote,DidyouvoteGE2015,Past.vote,Eurefvote,Certainty.to.vote.in.EU.referendum.10.is.certain,Gender,Age,Region,Ethnicity,Education,Housing,mosaic_2014_groups,parliamentary_constituency,local_authority
10,UKIP,Yes.I.voted,UKIP,Leave,"",Female,38,North.West,White,Level.1.or.2,Rented.from.Housing.Association,I,E14000987,E06000049
10,Dont.know,Yes.I.voted,Conservative,Remain,10,Female,56,Wales,White,Level.4,Owned.outright.by.household,F,W07000058,W06000003
10,Conservative,Yes.I.voted,Labour,Remain,10,Male,63,West.Midlands,White,Level.1,Owned.with.a.mortgage.or.loan,F,E14000565,E08000025
"",Would.not.vote,Yes.I.voted,Scottish.National.Party.SNP,Leave,9,Male,45,Scotland,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,J,S14000043,S12000040
1,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,69,Scotland,White,No.formal.qualifications,Being.bought.on.a.mortgage,D,S14000006,S12000028
10,Conservative,Yes.I.voted,Conservative,Remain,"",Male,56,South.East,White,Level.1.or.2,Being.bought.on.a.mortgage,C,E14001023,E07000065
"",Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Leave,10,Female,63,Wales,White,Level.4,Owned.outright.by.household,C,W07000064,W06000008
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,59,North.East,White,Level.1,Social.housing.rented.other.than.from.council/local.authority,J,E14001014,E06000057
1,None.-.wont.vote,No.I.chose.not.to.vote,0,Remain,7,Male,Prefer.not.to.say,Yorkshire.and.The.Humber,Prefer.not.to.say,Level.4,Owned.outright.by.household,F,E14000645,E08000034
10,Dont.know,Yes.I.voted,UKIP,Leave,10,Female,48,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,F,E14000957,E06000033
1,Conservative,Yes.I.voted,Conservative,Remain,10,Female,43,North.West,White,Level.4,Owned.outright.by.household,C,E14000877,E07000028
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,10,Male,67,Yorkshire.and.The.Humber,White,Level.4,Owned.outright.by.household,B,E14000922,E08000019
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,74,East.Midlands,White,Level.2,Owned.outright.by.household,C,E14000909,E06000017
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,56,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,J,E14000927,E07000113
10,UKIP,Yes.I.voted,Conservative,Leave,10,Female,54,South.West,White,Level.2,Owned.with.a.mortgage.or.loan,F,E14000847,E06000019
10,Dont.know,Yes.I.voted,Labour,Remain,"",Female,68,Wales,White,Level.1.or.2,Owned.outright.by.household,M,W07000062,W06000006
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,9,Female,29,Scotland,White,Other,Being.bought.on.a.mortgage,J,S14000050,S12000005
10,Dont.know,Yes.I.voted,Liberal.Democrat,"","",Female,43,West.Midlands,White,Level.3,Being.bought.on.a.mortgage,B,E14000931,E08000029
"",Dont.know,Yes.I.voted,Labour,Remain,7,Male,40,London,Other.Ethnic.Group,Level.4,Owned.with.a.mortgage.or.loan,N,E14000978,E09000022
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,43,South.West,White,Level.4,Owned.with.a.mortgage.or.loan,G,E14000623,E07000045
10,Labour,Yes.I.voted,Labour,Remain,10,Female,50,Scotland,White,Level.4,Being.bought.on.a.mortgage,B,S14000042,S12000029
9,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,9,Female,57,Scotland,White,Level.3,Rented.from.Local.Authority,K,S14000001,S12000033
"",UKIP,Yes.I.voted,UKIP,Leave,10,Male,51,Wales,White,Level.1,Owned.outright.by.household,C,W07000056,W06000022
2,Other.party,No.I.chose.not.to.vote,0,Remain,10,Male,32,West.Midlands,White,Level.1,Owned.outright.by.household,L,E14000972,E06000021
Dont.know,Dont.know,Yes.I.voted,0,Dont.know,"",Prefer.not.to.say,51,Yorkshire.and.The.Humber,White,Dont.know,Prefer.not.to.say,J,E14000668,E08000017
8,Green.Party,Yes.I.voted,Conservative,Remain,Dont.know,Female,Prefer.not.to.say,North.West,White,Level.2,Owned.outright.by.household,G,E14000574,E08000037
1,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Dont.know,1,Female,33,West.Midlands,White,Level.3,Rented.from.a.private.landlord.or.letting.agency,O,E14001019,E07000222
10,Conservative,Yes.I.voted,Conservative,Remain,"",Female,37,South.East,White,Level.4,Rented.from.private.landlord,H,E14001047,E07000209
"",UKIP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,43,Scotland,White,Level.4,Owned.outright.by.household,O,S14000001,S12000033
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,24,North.East,White,0,Rented.from.a.private.landlord.or.letting.agency,O,E14000709,E08000037
8,Labour,Yes.I.voted,Conservative,Remain,6,Male,30,Scotland,White,Level.3,Rented.from.Housing.Association,L,S14000045,S12000019
3,Green.Party,No.I.chose.not.to.vote,"",Leave,10,Male,32,North.West,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,J,E14000807,E08000003
10,Dont.know,Yes.I.voted,Conservative,Dont.know,10,Female,44,North.West,White,Level.1,Owned.with.a.mortgage.or.loan,H,E14000537,E08000008
10,Dont.know,Yes.I.voted,Labour,Leave,10,Female,46,Yorkshire.and.The.Humber,White,Level.2,Owned.with.a.mortgage.or.loan,G,E14001054,E08000006
10,Conservative,Yes.I.voted,Conservative,Dont.know,"",Male,47,Yorkshire.and.The.Humber,White,Level.3,Being.bought.on.a.mortgage,C,E14000876,E08000016
1,Dont.know,No.I.chose.not.to.vote,"",Leave,0,Female,54,South.East,Prefer.not.to.say,0,Rented.from.council/local.authority,F,E14000591,E09000005
"",Labour,Yes.I.voted,Labour,Leave,10,Female,50,London,Prefer.not.to.say,Level.1,Rented.from.council/local.authority,K,E14000790,E09000031
"",Would.not.vote,Yes.I.voted,Other.party,Leave,10,Male,58,Scotland,White,0,Owned.outright.by.household,K,S14000044,S12000040
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Leave,10,Female,47,East.Midlands,White,Level.1,Owned.outright.by.household,M,W07000066,W06000009
10,Dont.know,Yes.I.voted,Labour,Dont.know,10,Female,49,London,White,Level.1,Owned.with.a.mortgage.or.loan,K,E14000539,E07000177
7,Labour,Yes.I.voted,Labour,Remain,10,Male,31,Wales,White,Level.3,Rented.from.Housing.Association,K,W07000075,W06000016
10,Dont.know,Yes.I.voted,Labour,Remain,10,Female,40,West.Midlands,White,Level.2,Owned.with.a.mortgage.or.loan,B,W07000074,W06000013
8,Labour,Yes.I.voted,Labour,Remain,"",Male,33,Yorkshire.and.The.Humber,White,Level.4,Being.bought.on.a.mortgage,O,E14000779,E08000035
9,Dont.know,Yes.I.voted,Dont.remember,Leave,10,Female,46,Yorkshire.and.The.Humber,White,Level.2,Rented.from.council/local.authority,I,E14000876,E08000019
"",Labour,Yes.I.voted,Labour,Leave,1,Female,50,London,Asian./.Asian.British:.Indian,Level.1,Owned.with.a.mortgage.or.loan,N,E14000676,E09000009
"",Conservative,Yes.I.voted,Liberal.Democrat,Leave,10,Female,64,Scotland,White,Level.3,Owned.outright.by.household,F,S14000037,S12000034
"",Dont.know,Yes.I.voted,Dont.remember,Dont.know,Dont.know,Female,31,Scotland,White,Level.1,Rented.from.council/local.authority,I,S14000044,S12000040
"",Conservative,Yes.I.voted,Conservative,Remain,10,Male,68,Wales,White,No.qualifications,Owned.outright.by.household,M,W07000056,W06000022
10,Labour,Yes.I.voted,Labour,Leave,10,Male,34,South.West,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,H,E14000916,E08000014
9,Dont.know,Yes.I.voted,Conservative,Leave,10,Female,48,South.West,Black/Black.British,Level.4,Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency,O,E14000956,E06000045
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,6,Female,51,Scotland,White,0,Prefer.not.to.say,D,S14000037,S12000034
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,64,Scotland,White,Level.1,Rented.from.council/local.authority,L,S14000058,S12000034
"",Conservative,Yes.I.voted,Conservative,Remain,1,Female,46,Scotland,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,G,S14000021,S12000011
"",Labour,Yes.I.voted,Conservative,Leave,10,Female,61,London,White,Level.2,Owned.outright.by.household,N,E14000621,E09000029
"",Liberal.Democrat,Yes.I.voted,Plaid.Cymru-.the.Welsh.Nationalists,Remain,10,Male,66,Wales,White,Level.1,Owned.outright.by.household,F,W07000070,W06000016
10,Labour,Yes.I.voted,Labour,Remain,"",Male,69,North.West,White,Other,Owned.outright.by.household,E,E14000640,E06000050
10,Labour,Yes.I.voted,Labour,Dont.know,10,Female,52,London,White,Level.1,Owned.with.a.mortgage.or.loan,H,E14000636,E09000003
9,Labour,Yes.I.voted,Labour,Leave,9,Prefer.not.to.say,76,South.East,Prefer.not.to.say,Level.4,Social.housing.rented.other.than.from.council/local.authority,E,E14000547,E06000022
10,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,10,Female,31,South.East,White,0,Prefer.not.to.say,J,E14000852,E07000106
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,68,East.of.England,White,0,Prefer.not.to.say,L,E14000642,E07000076
10,Green.Party,Yes.I.voted,Labour,Leave,10,Male,Prefer.not.to.say,Yorkshire.and.The.Humber,White,Level.2,Owned.with.a.mortgage.or.loan,B,E14000971,E06000004
"",Conservative,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,10,Female,83,Scotland,White,Level.2,Prefer.not.to.say,L,S14000048,S12000021
10,Dont.know,Yes.I.voted,Conservative,Remain,10,Male,65,London,Asian/Asian.British,Dont.know,Being.bought.on.a.mortgage,B,E14001007,E09000017
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,49,Wales,White,Level.1.or.2,Being.bought.on.a.mortgage,M,W07000052,W06000016
10,Labour,Yes.I.voted,Labour,Remain,10,Female,38,East.Midlands,White,Level.3,Owned.with.a.mortgage.or.loan,J,E14000866,E06000018
10,UKIP,Yes.I.voted,Conservative,Leave,10,Male,69,Yorkshire.and.The.Humber,White,Other,Owned.outright.by.household,C,E14000643,E06000013
"",Would.not.vote,No.I.chose.not.to.vote,"",Leave,1,Male,35,London,Prefer.not.to.say,Level.1,Rented.from.council/local.authority,I,E14000657,E09000016
8,Labour,Yes.I.voted,Green.Party,Remain,10,Male,57,South.East,White,Level.4,Owned.outright.by.household,B,E14000608,E07000004
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,41,East.Midlands,White,Level.2,Owned.with.a.mortgage.or.loan,N,W07000059,W06000003
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,65,East.of.England,White,No.formal.qualifications,Owned.outright.by.household,C,E14000981,E07000205
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,40,East.of.England,White,Level.4,Being.bought.on.a.mortgage,D,E14000729,E07000072
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Dont.know,10,Female,54,Scotland,White,Level.2,Social.housing.rented.other.than.from.council/local.authority,I,S14000056,S12000029
1,Conservative,Yes.I.voted,Conservative,Leave,1,Male,57,South.West,White,Other,Rented.from.Housing.Association,N,E14000850,E06000024
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,34,Scotland,White,Level.4,Owned.outright.by.household,"",S14000025,S12000036
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,59,North.West,White,Level.3,Owned.outright.by.household,F,E14000747,E08000005
7,Dont.know,Yes.I.voted,Labour,Dont.know,7,Male,26,South.East,White,Level.2,Shared.ownership.part.owned.and.part.rented,O,E14000817,E07000228
Dont.know,Dont.know,Yes.I.voted,Conservative,Remain,Dont.know,Female,31,Scotland,White,Level.1,Owned.outright.by.household,B,E14000857,E07000093
10,Dont.know,Yes.I.voted,Dont.remember,Dont.know,6,Female,44,London,White,Level.1,Owned.with.a.mortgage.or.loan,N,E14000918,E07000111
10,Conservative,Yes.I.voted,Conservative,Dont.know,"",Male,59,South.East,White,No.formal.qualifications,Being.bought.on.a.mortgage,D,E14000749,E07000099
"",Dont.know,Yes.I.voted,Labour,Leave,5,Female,60,London,Black./.African./.Caribbean./.Black.British,Level.1,Rented.from.a.private.landlord.or.letting.agency,E,E14000657,E09000002
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,60,West.Midlands,White,Level.1,Owned.outright.by.household,M,E14000648,E07000150
10,Conservative,Yes.I.voted,Conservative,Remain,6,Female,49,South.East,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,F,E14000828,E07000091
8,Dont.know,Yes.I.voted,Labour,Leave,8,Male,37,Yorkshire.and.The.Humber,White,Level.1,Owned.outright.by.household,D,E14000914,E06000013
"",Labour,Yes.I.voted,Liberal.Democrat,Leave,10,Male,32,London,Asian./.Asian.British:.Other.Asian,Level.4,Living.rent.free,B,E14000551,E09000006
8,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,10,Female,31,South.West,White,Level.1,Rented.from.council/local.authority,H,E14001060,E07000189
1,Labour,Yes.I.voted,Labour,Would.not.vote,Dont.know,Female,38,West.Midlands,White,Level.4,Social.housing.rented.other.than.from.council/local.authority,J,E14000973,E06000021
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,69,South.East,White,Level.4,Owned.with.a.mortgage.or.loan,M,S14000002,S12000033
10,Labour,Yes.I.voted,Labour,Remain,10,Male,66,London,White,Level.1,Owned.with.a.mortgage.or.loan,A,E14000629,E09000013
10,Dont.know,Yes.I.voted,Dont.remember,Leave,10,Female,47,Yorkshire.and.The.Humber,White,Level.2,Owned.with.a.mortgage.or.loan,H,E14000778,E08000035
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,64,South.East,White,No.qualifications,Rented.from.council/local.authority,D,E14001023,E07000065
10,Labour,Yes.I.voted,Labour,"","",Female,50,East.of.England,White,Level.3,Being.bought.on.a.mortgage,G,E14000859,E07000146
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,68,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,E,E14000622,E07000069
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,62,West.Midlands,White,Level.3,Owned.outright.by.household,F,E14000605,E07000234
10,Conservative,Yes.I.voted,Conservative,Leave,"",Male,63,South.East,White,Level.4,Owned.outright.by.household,B,E14000700,E07000110
"",Liberal.Democrat,Yes.I.voted,Conservative,Leave,10,Female,54,London,"",Level.4,"",O,E14000655,E09000008
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,74,London,Black/Black.British,No.formal.qualifications,Rented.from.Housing.Association,N,E14000721,E09000012
1,None.-.wont.vote,Yes.I.voted,Dont.remember,Leave,10,Female,72,South.West,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,M,E14001036,E09000033
10,Conservative,Yes.I.voted,Conservative,Remain,"",Female,32,North.West,White,Level.3,Being.bought.on.a.mortgage,O,E14000962,E08000013
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,68,Scotland,White,0,Rented.from.council/local.authority,M,S14000047,S12000044
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,54,North.West,White,Level.2,Owned.with.a.mortgage.or.loan,B,E14000875,E07000122
10,Conservative,Yes.I.voted,Conservative,Remain,"",Male,49,Wales,White,Level.1.or.2,Owned.outright.by.household,C,W07000064,W06000008
"",UKIP,Yes.I.voted,Labour,Leave,10,Male,53,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,I,W07000077,W06000018
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,67,South.East,White,Other,Owned.outright.by.household,M,E14000684,E07000061
10,Dont.know,Yes.I.voted,Labour,Leave,Dont.know,Male,43,Scotland,White,0,Rented.from.a.private.landlord.or.letting.agency,O,W07000071,W06000018
"",Labour,Yes.I.voted,Conservative,Remain,10,Male,79,London,Asian./.Asian.British:.Pakistani,Level.1,Social.housing.rented.other.than.from.council/local.authority,E,E14000788,E09000006
"",Labour,Yes.I.voted,Labour,Remain,10,Male,62,Wales,White,Level.3,Owned.outright.by.household,C,W07000059,W06000003
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,39,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,A,S14000002,S12000033
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,55,West.Midlands,White,Apprenticeship,Owned.outright.by.household,F,E14000739,E07000096
1,Plaid.Cymru.-.the.Welsh.Nationalists,No.I.chose.not.to.vote,0,Leave,1,Male,38,Wales,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,I,W07000045,W06000010
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,52,North.West,White,Level.2,Owned.with.a.mortgage.or.loan,B,E14000805,E08000010
"",Dont.know,Yes.I.voted,Conservative,Leave,10,Male,70,London,White,No.qualifications,Owned.outright.by.household,N,E14000675,E09000009
10,Labour,Yes.I.voted,Labour,Remain,10,Female,68,South.East,White,Level.4,Rented.from.a.private.landlord.or.letting.agency,F,E14000534,E07000227
10,Labour,No.I.chose.not.to.vote,0,Remain,8,Male,43,West.Midlands,White,Level.3,Being.bought.on.a.mortgage,M,E14000722,E08000027
"",Conservative,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,41,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,G,S14000040,S12000008
"",Would.not.vote,No.I.chose.not.to.vote,"",Would.not.vote,0,Female,29,Scotland,White,Level.1,Rented.from.council/local.authority,J,S14000040,S12000008
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,75,East.Midlands,White,Apprenticeship,Rented.from.a.private.landlord.or.letting.agency,E,E14000735,E07000062
10,UKIP,Yes.I.voted,Labour,Dont.know,10,Female,47,North.West,White,Level.1,Owned.outright.by.household,M,E14000894,E07000126
9,Dont.know,Yes.I.voted,Conservative,Leave,10,Male,49,East.of.England,White,Level.2,Owned.with.a.mortgage.or.loan,G,E14000624,E07000203
"",UKIP,Yes.I.voted,UKIP,Leave,10,Female,73,Scotland,White,Level.4,Owned.outright.by.household,B,S14000001,S12000033
10,Conservative,Yes.I.voted,Conservative,Remain,"",Female,66,South.East,White,Level.3,Being.bought.on.a.mortgage,B,E14000534,E07000224
"",Labour,Yes.I.voted,Labour,Leave,10,Female,54,London,White,Level.1,Rented.from.council/local.authority,K,E14000615,E09000028
7,Green.Party,No.I.chose.not.to.vote,"",Remain,7,Male,24,East.Midlands,White,Level.4,Living.rent.free,O,E14000865,E06000018
0,UKIP,Yes.I.voted,UKIP,Leave,1,Female,46,South.East,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,A,E14000701,E09000018
10,Green.Party,Yes.I.voted,Green.Party,"","",Male,34,North.West,White,Level.4,Rented.from.private.landlord,O,E14000911,E08000006
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Dont.know,5,Female,32,Scotland,White,Level.4,Rented.from.private.landlord,O,S14000016,S12000042
10,Conservative,Yes.I.voted,Conservative,"","",Female,70,South.East,White,Level.1.or.2,Owned.outright.by.household,B,E14000827,E07000091
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Male,33,North.East,White,Other,Rented.from.Local.Authority,I,E14000575,E06000057
10,Conservative,Yes.I.voted,Conservative,Dont.know,"",Female,67,East.of.England,White,Level.3,Rented.from.Housing.Association,D,E14000934,E07000012
"",Labour,Yes.I.voted,UKIP,Remain,10,Male,73,Wales,White,Level.1,Owned.outright.by.household,B,W07000053,W06000020
10,Conservative,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,67,Scotland,White,Level.2,Owned.outright.by.household,C,S14000049,S12000015
10,Labour,Yes.I.voted,Labour,Remain,10,Female,61,Yorkshire.and.The.Humber,White,Level.2,Owned.outright.by.household,E,E14000683,E06000011
"",Labour,Yes.I.voted,Labour,Dont.know,10,Male,53,London,Asian./.Asian.British:.Bangladeshi,0,Prefer.not.to.say,K,E14001032,E09000025
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Dont.know,8,Female,49,Scotland,White,Level.1,Rented.from.council/local.authority,K,S14000036,S12000015
"",Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Would.not.vote,1,Prefer.not.to.say,41,Scotland,White,Level.2,Prefer.not.to.say,J,S14000015,S12000042
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,"","",Female,37,East.Midlands,White,Level.4,Being.bought.on.a.mortgage,D,E14000707,E07000142
"",Labour,Yes.I.voted,Dont.remember,Remain,10,Female,36,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,H,S14000040,S12000008
"",UKIP,Yes.I.voted,Liberal.Democrat,Leave,10,Female,61,Scotland,White,Level.1,Owned.outright.by.household,D,S14000055,S12000017
"",Labour,Yes.I.voted,Labour,Remain,10,Male,60,Wales,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,F,W07000059,W06000003
10,Dont.know,Yes.I.voted,Dont.remember,Leave,10,Female,63,South.East,White,0,Owned.with.a.mortgage.or.loan,F,E14000898,E06000035
10,Conservative,Yes.I.voted,Dont.remember,Dont.know,Dont.know,Male,56,London,White,0,Owned.with.a.mortgage.or.loan,N,E14000907,E07000212
10,Dont.know,Yes.I.voted,Labour,Remain,10,Male,45,East.Midlands,White,Level.1,Owned.with.a.mortgage.or.loan,A,E14000867,E06000018
10,Labour,Yes.I.voted,Labour,Dont.know,10,Female,77,South.West,White,Level.2,Owned.outright.by.household,E,E14000988,E07000190
10,Dont.know,Yes.I.voted,Conservative,Dont.know,Dont.know,Female,52,Wales,White,Dont.know,Rented.from.Housing.Association,D,W07000054,W06000021
8,UKIP,Yes.I.voted,UKIP,Leave,10,Male,33,Scotland,White,Level.4,Owned.with.a.mortgage.or.loan,O,E14000734,E07000076
10,Conservative,Yes.I.voted,Conservative,Remain,"",Female,46,West.Midlands,White,Level.1.or.2,Being.bought.on.a.mortgage,I,E14000651,E08000026
10,Dont.know,Yes.I.voted,Other.party,"","",Male,33,London,White,Level.1.or.2,Being.bought.on.a.mortgage,G,E14000869,E09000004
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Male,68,Scotland,White,Level.4,Owned.with.a.mortgage.or.loan,L,S14000012,S12000044
1,Conservative,No.I.was.ineligible.to.vote.in.that.General.Election,"",Remain,10,Female,50,North.West,White,Level.1,Owned.with.a.mortgage.or.loan,F,E14000959,E07000213
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,81,South.East,White,No.formal.qualifications,Owned.outright.by.household,C,E14000830,E06000037
"",Labour,Yes.I.voted,Labour,Leave,5,Male,52,Scotland,White,Level.1,Social.housing.rented.other.than.from.council/local.authority,O,S14000016,S12000042
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,10,Male,Prefer.not.to.say,Yorkshire.and.The.Humber,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,L,E14000643,E06000012
10,Dont.know,Yes.I.voted,Dont.remember,Dont.know,10,Male,78,North.West,White,Level.1,Prefer.not.to.say,E,E14000543,E07000027
"",Green.Party,Yes.I.voted,Green.Party,Leave,10,Male,44,Wales,White,Level.1,Owned.outright.by.household,M,W07000074,W06000013
"",UKIP,Yes.I.voted,Labour,Leave,10,Male,71,Wales,White,0,Prefer.not.to.say,E,W07000073,W06000013
7,Conservative,Yes.I.voted,Conservative,Leave,10,Prefer.not.to.say,88,North.West,White,Level.1,Owned.with.a.mortgage.or.loan,E,E14000959,E07000213
1,Dont.know,Yes.I.voted,Conservative,Dont.know,1,Male,51,Yorkshire.and.The.Humber,White,Level.4,Owned.with.a.mortgage.or.loan,I,E14000716,E06000012
10,Conservative,Yes.I.voted,Conservative,Remain,"",Female,52,South.East,White,Level.3,Being.bought.on.a.mortgage,B,E14000811,E07000085
7,UKIP,Yes.I.voted,UKIP,Leave,1,Male,29,North.East,White,Level.3,Being.bought.on.a.mortgage,L,E14000677,E06000047
10,Labour,Yes.I.voted,Labour,Remain,"",Male,41,West.Midlands,Other.ethnic.group,Level.3,Rented.from.Local.Authority,J,E14000972,E06000021
10,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,10,Female,61,South.West,White,Dont.know,Owned.outright.by.household,M,E14000999,E06000027
10,Labour,Yes.I.voted,Labour,Remain,10,Male,43,East.Midlands,White,Level.2,Owned.outright.by.household,O,E14000999,E06000027
"",Would.not.vote,Yes.I.voted,UKIP,Would.not.vote,0,Male,59,London,White,Level.4,Rented.from.council/local.authority,L,E14000634,E09000031
10,Dont.know,Yes.I.voted,Dont.remember,Leave,10,Female,32,London,Prefer.not.to.say,Level.3,Owned.with.a.mortgage.or.loan,A,E14000800,E06000032
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,33,North.West,White,Level.1,Owned.outright.by.household,O,S14000018,S12000045
1,Labour,No.I.chose.not.to.vote,"",Leave,5,Female,27,Prefer.not.to.say,White,0,Prefer.not.to.say,O,E14000586,E06000041
3,Dont.know,No.I.chose.not.to.vote,"",Leave,4,Female,68,London,White,Level.1,Owned.with.a.mortgage.or.loan,K,E14000986,E07000199
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,71,South.West,White,Level.2,Owned.outright.by.household,B,E14000850,E06000024
10,Green.Party,Yes.I.voted,Conservative,Leave,10,Female,32,South.West,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,O,E14000839,E07000050
0,None.-.wont.vote,Yes.I.voted,Liberal.Democrat,"","",Male,38,Yorkshire.and.The.Humber,White,Other,Being.bought.on.a.mortgage,D,E14000556,E06000011
9,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,"",Female,32,London,White,Level.4,Being.bought.on.a.mortgage,F,E14000872,E09000006
10,Liberal.Democrat,Yes.I.voted,0,Leave,"",Female,59,North.West,White,Level.1.or.2,Owned.outright.by.household,M,E14000747,E08000005
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Male,67,Scotland,White,Apprenticeship,Owned.outright.by.household,M,S14000001,S12000033
0,None.-.wont.vote,No.I.chose.not.to.vote,"",Would.not.vote,0,Male,30,Yorkshire.and.The.Humber,White,Level.2,Prefer.not.to.say,F,E14000669,E08000017
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Male,65,Scotland,White,Level.4,Owned.outright.by.household,H,S14000003,S12000044
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,40,Scotland,White,Level.4,Rented.from.Housing.Association,D,S14000008,S12000026
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,37,Yorkshire.and.The.Humber,White,Level.4,Owned.outright.by.household,J,E14000899,E06000033
"",Conservative,Yes.I.voted,Conservative,Leave,10,Female,49,London,White,0,Prefer.not.to.say,G,E14000896,E09000027
1,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Remain,"",Male,52,North.East,White,No.formal.qualifications,Rented.from.Housing.Association,I,E14000982,E08000024
Dont.know,Dont.know,Yes.I.voted,0,"","",Female,Prefer.not.to.say,London,Prefer.not.to.say,Dont.know,Prefer.not.to.say,K,E14000555,E09000030
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,53,South.East,White,Level.4,Owned.with.a.mortgage.or.loan,H,E14000687,E09000010
1,None.-.wont.vote,No.I.chose.not.to.vote,blank,Would.not.vote,1,Female,32,Yorkshire.and.The.Humber,White,Other,Rented.from.Local.Authority,L,E14000683,E06000011
